Top operators by CUDA time

-------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  Total MFLOPs  
-------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        ProfilerStep*        11.62%     490.806us       100.00%       4.224ms       4.224ms           0 B           0 B             1            --  
    compute_kernel:aisp_torch_profile        15.19%     641.773us        88.38%       3.733ms       3.733ms           0 B      -2.00 MB             1            --  
                          aten::randn         5.19%     219.256us        54.25%       2.291ms       2.291ms       1.00 MB           0 B             1            --  
                          aten::empty         0.19%       8.043us         0.19%       8.043us       4.022us       1.00 MB       1.00 MB             2            --  
                        aten::normal_        48.89%       2.065ms        48.89%       2.065ms       2.065ms           0 B           0 B             1            --  
                         aten::matmul         4.53%     191.465us        12.96%     547.517us     547.517us       1.00 MB           0 B             1            --  
                             aten::mm         8.42%     355.595us         8.43%     356.052us     356.052us       1.00 MB       1.00 MB             1       268.435  
                   aten::resolve_conj         0.01%       0.457us         0.01%       0.457us       0.152us           0 B           0 B             3            --  
                            aten::sum         5.50%     232.342us         5.92%     250.008us     250.008us           4 B         -44 B             1            --  
                     aten::as_strided         0.05%       2.209us         0.05%       2.209us       0.736us           0 B           0 B             3            --  
                          aten::fill_         0.02%       0.959us         0.02%       0.959us       0.959us           0 B           0 B             1            --  
                      aten::unsqueeze         0.08%       3.416us         0.09%       3.708us       3.708us           0 B           0 B             1            --  
                          aten::copy_         0.15%       6.458us         0.15%       6.458us       6.458us           0 B           0 B             1            --  
                         aten::select         0.08%       3.499us         0.09%       3.791us       3.791us           0 B           0 B             1            --  
                           aten::item         0.04%       1.833us         0.06%       2.583us       2.583us           0 B           0 B             1            --  
            aten::_local_scalar_dense         0.02%       0.750us         0.02%       0.750us       0.750us           0 B           0 B             1            --  
-------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.224ms


Top operators by CPU time

-------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  Total MFLOPs  
-------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        ProfilerStep*        11.62%     490.806us       100.00%       4.224ms       4.224ms           0 B           0 B             1            --  
    compute_kernel:aisp_torch_profile        15.19%     641.773us        88.38%       3.733ms       3.733ms           0 B      -2.00 MB             1            --  
                          aten::randn         5.19%     219.256us        54.25%       2.291ms       2.291ms       1.00 MB           0 B             1            --  
                        aten::normal_        48.89%       2.065ms        48.89%       2.065ms       2.065ms           0 B           0 B             1            --  
                         aten::matmul         4.53%     191.465us        12.96%     547.517us     547.517us       1.00 MB           0 B             1            --  
                             aten::mm         8.42%     355.595us         8.43%     356.052us     356.052us       1.00 MB       1.00 MB             1       268.435  
                            aten::sum         5.50%     232.342us         5.92%     250.008us     250.008us           4 B         -44 B             1            --  
                          aten::empty         0.19%       8.043us         0.19%       8.043us       4.022us       1.00 MB       1.00 MB             2            --  
                          aten::copy_         0.15%       6.458us         0.15%       6.458us       6.458us           0 B           0 B             1            --  
                         aten::select         0.08%       3.499us         0.09%       3.791us       3.791us           0 B           0 B             1            --  
                      aten::unsqueeze         0.08%       3.416us         0.09%       3.708us       3.708us           0 B           0 B             1            --  
                           aten::item         0.04%       1.833us         0.06%       2.583us       2.583us           0 B           0 B             1            --  
                     aten::as_strided         0.05%       2.209us         0.05%       2.209us       0.736us           0 B           0 B             3            --  
                          aten::fill_         0.02%       0.959us         0.02%       0.959us       0.959us           0 B           0 B             1            --  
            aten::_local_scalar_dense         0.02%       0.750us         0.02%       0.750us       0.750us           0 B           0 B             1            --  
                   aten::resolve_conj         0.01%       0.457us         0.01%       0.457us       0.152us           0 B           0 B             3            --  
-------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.224ms


Top operators by CPU memory usage

-------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  Total MFLOPs  
-------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          aten::empty         0.19%       8.043us         0.19%       8.043us       4.022us       1.00 MB       1.00 MB             2            --  
                          aten::randn         5.19%     219.256us        54.25%       2.291ms       2.291ms       1.00 MB           0 B             1            --  
                         aten::matmul         4.53%     191.465us        12.96%     547.517us     547.517us       1.00 MB           0 B             1            --  
                             aten::mm         8.42%     355.595us         8.43%     356.052us     356.052us       1.00 MB       1.00 MB             1       268.435  
                            aten::sum         5.50%     232.342us         5.92%     250.008us     250.008us           4 B         -44 B             1            --  
                        ProfilerStep*        11.62%     490.806us       100.00%       4.224ms       4.224ms           0 B           0 B             1            --  
    compute_kernel:aisp_torch_profile        15.19%     641.773us        88.38%       3.733ms       3.733ms           0 B      -2.00 MB             1            --  
                        aten::normal_        48.89%       2.065ms        48.89%       2.065ms       2.065ms           0 B           0 B             1            --  
                   aten::resolve_conj         0.01%       0.457us         0.01%       0.457us       0.152us           0 B           0 B             3            --  
                     aten::as_strided         0.05%       2.209us         0.05%       2.209us       0.736us           0 B           0 B             3            --  
                          aten::fill_         0.02%       0.959us         0.02%       0.959us       0.959us           0 B           0 B             1            --  
                      aten::unsqueeze         0.08%       3.416us         0.09%       3.708us       3.708us           0 B           0 B             1            --  
                          aten::copy_         0.15%       6.458us         0.15%       6.458us       6.458us           0 B           0 B             1            --  
                         aten::select         0.08%       3.499us         0.09%       3.791us       3.791us           0 B           0 B             1            --  
                           aten::item         0.04%       1.833us         0.06%       2.583us       2.583us           0 B           0 B             1            --  
            aten::_local_scalar_dense         0.02%       0.750us         0.02%       0.750us       0.750us           0 B           0 B             1            --  
-------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.224ms


Top operators by FLOPs

-------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  Total MFLOPs  
-------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             aten::mm         8.42%     355.595us         8.43%     356.052us     356.052us       1.00 MB       1.00 MB             1       268.435  
                        ProfilerStep*        11.62%     490.806us       100.00%       4.224ms       4.224ms           0 B           0 B             1            --  
    compute_kernel:aisp_torch_profile        15.19%     641.773us        88.38%       3.733ms       3.733ms           0 B      -2.00 MB             1            --  
                          aten::randn         5.19%     219.256us        54.25%       2.291ms       2.291ms       1.00 MB           0 B             1            --  
                          aten::empty         0.19%       8.043us         0.19%       8.043us       4.022us       1.00 MB       1.00 MB             2            --  
                        aten::normal_        48.89%       2.065ms        48.89%       2.065ms       2.065ms           0 B           0 B             1            --  
                         aten::matmul         4.53%     191.465us        12.96%     547.517us     547.517us       1.00 MB           0 B             1            --  
                   aten::resolve_conj         0.01%       0.457us         0.01%       0.457us       0.152us           0 B           0 B             3            --  
                            aten::sum         5.50%     232.342us         5.92%     250.008us     250.008us           4 B         -44 B             1            --  
                     aten::as_strided         0.05%       2.209us         0.05%       2.209us       0.736us           0 B           0 B             3            --  
                          aten::fill_         0.02%       0.959us         0.02%       0.959us       0.959us           0 B           0 B             1            --  
                      aten::unsqueeze         0.08%       3.416us         0.09%       3.708us       3.708us           0 B           0 B             1            --  
                          aten::copy_         0.15%       6.458us         0.15%       6.458us       6.458us           0 B           0 B             1            --  
                         aten::select         0.08%       3.499us         0.09%       3.791us       3.791us           0 B           0 B             1            --  
                           aten::item         0.04%       1.833us         0.06%       2.583us       2.583us           0 B           0 B             1            --  
            aten::_local_scalar_dense         0.02%       0.750us         0.02%       0.750us       0.750us           0 B           0 B             1            --  
-------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.224ms
