run,phase,iteration,case,latency_ms,status,route,compile_submissions,eager_fallback,max_abs_error
default-r1,serving,0,batch0_contiguous,807.113775,ok,compiled_new_variant,1,False,0.0
default-r1,serving,0,batch1_contiguous,330.267358,ok,compiled_new_variant,1,False,1.4901161193847656e-08
default-r1,serving,0,batch2_contiguous,153.567059,ok,compiled_new_variant,1,False,5.960464477539063e-08
default-r1,serving,0,batch4_contiguous,86.732465,ok,compiled_new_variant,1,False,5.960464477539063e-08
default-r1,serving,0,batch2_strided,136.130124,ok,compiled_new_variant,1,False,5.960464477539063e-08
default-r1,serving,0,batch3_strided_late,133.336171,ok,compiled_new_variant,1,False,5.960464477539063e-08
default-r1,serving,1,batch0_contiguous,0.148559,ok,compiled_cache,0,False,0.0
default-r1,serving,1,batch1_contiguous,0.126508,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,1,batch2_contiguous,0.098169,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,1,batch4_contiguous,0.090529,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,1,batch2_strided,0.107939,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,1,batch3_strided_late,0.088719,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,2,batch0_contiguous,0.055838,ok,compiled_cache,0,False,0.0
default-r1,serving,2,batch1_contiguous,0.071709,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,2,batch2_contiguous,0.072729,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,2,batch4_contiguous,0.07188,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,2,batch2_strided,0.071389,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,2,batch3_strided_late,0.080508,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,3,batch0_contiguous,0.053848,ok,compiled_cache,0,False,0.0
default-r1,serving,3,batch1_contiguous,0.065059,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,3,batch2_contiguous,0.06524,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,3,batch4_contiguous,0.073649,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,3,batch2_strided,0.06981,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,3,batch3_strided_late,0.067539,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,4,batch0_contiguous,0.04852,ok,compiled_cache,0,False,0.0
default-r1,serving,4,batch1_contiguous,0.073209,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,4,batch2_contiguous,0.071389,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,4,batch4_contiguous,0.06533,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,4,batch2_strided,0.068479,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,4,batch3_strided_late,0.071279,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,5,batch0_contiguous,0.051019,ok,compiled_cache,0,False,0.0
default-r1,serving,5,batch1_contiguous,0.063029,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,5,batch2_contiguous,0.065729,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,5,batch4_contiguous,0.065649,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,5,batch2_strided,0.06962,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,5,batch3_strided_late,0.066959,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,6,batch0_contiguous,0.047668,ok,compiled_cache,0,False,0.0
default-r1,serving,6,batch1_contiguous,0.062999,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,6,batch2_contiguous,0.064519,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,6,batch4_contiguous,0.070009,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,6,batch2_strided,0.087589,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,6,batch3_strided_late,0.072909,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,7,batch0_contiguous,0.04782,ok,compiled_cache,0,False,0.0
default-r1,serving,7,batch1_contiguous,0.060539,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,7,batch2_contiguous,0.075279,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,7,batch4_contiguous,0.066099,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,7,batch2_strided,0.06829,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,7,batch3_strided_late,0.067829,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,8,batch0_contiguous,0.050339,ok,compiled_cache,0,False,0.0
default-r1,serving,8,batch1_contiguous,0.064608,ok,compiled_cache,0,False,1.4901161193847656e-08
